"region","physical_pc","virtual_pc","instructions"
"ROME","0xec3a4c","0x8a4c","791"
"ROME","0xec3a80","0x8a80","791"
"ROME","0xec3a85","0x8a85","791"
"ROME","0xeb5922","0x6922","786"
"ROME","0xeb5c75","0x6c75","786"
"ROME","0xeb58cb","0x68cb","785"
"ROME","0xeb56d2","0x66d2","777"
"ROME","0xea8188","0xd188","776"
"ROME","0xea8a1a","0xda1a","776"
"ROME","0xea8a25","0xda25","776"
"ROME","0xea8a2a","0xda2a","776"
"ROME","0xeaa643","0xf643","768"
"ROME","0xeb603e","0x703e","726"
"ROME","0xeb6066","0x7066","726"
"ROME","0xeb77b1","0x87b1","713"
"ROME","0xeb61d7","0x71d7","675"
"ROME","0xea8c0d","0xdc0d","638"
"ROME","0xeb511d","0x611d","576"
"ROME","0xeb48c4","0x58c4","550"
"ROME","0xeb9c85","0x6c85","540"
"ROME","0xeb560b","0x660b","504"
"ROME","0xeb9a10","0x6a10","494"
"ROME","0xeb7659","0x8659","486"
"ROME","0xeb0000","0x5000","483"
"ROME","0xeb757a","0x857a","480"
"ROME","0xeb757d","0x857d","480"
"ROME","0xeb699c","0x799c","459"
"ROME","0xec2fc5","0x7fc5","458"
"ROME","0xec38a3","0x88a3","452"
"ROME","0xec3a39","0x8a39","452"
"ROME","0xeb5a4b","0x6a4b","432"
"ROME","0xeb1321","0x6321","426"
"ROME","0xea8b5c","0xdb5c","396"
"ROME","0xeb8b96","0x5b96","394"
"ROME","0xea8a3c","0xda3c","388"
"ROME","0xeb485f","0x585f","388"
"ROME","0xeb60bd","0x70bd","363"
"ROME","0xeb6114","0x7114","363"
"ROME","0xeb62f8","0x72f8","363"
"ROME","0xeaa675","0xf675","348"
"ROME","0xeb6a3e","0x7a3e","336"
"ROME","0xeb7434","0x8434","336"
"ROME","0xeb6187","0x7187","322"
"ROME","0xea801b","0xd01b","320"
"ROME","0xeb5599","0x6599","312"
"ROME","0xeb9764","0x6764","312"
"ROME","0xeaa608","0xf608","294"
"ROME","0xea9907","0xe907","272"
"ROME","0xeb007f","0x507f","253"
"ROME","0xeb59ee","0x69ee","252"
"ROME","0xeb69dd","0x79dd","252"
"ROME","0xec326a","0x826a","233"
"ROME","0xec326c","0x826c","233"
"ROME","0xec326e","0x826e","233"
"ROME","0xec353b","0x853b","233"
"ROME","0xec35d0","0x85d0","233"
"ROME","0xec35d2","0x85d2","233"
"ROME","0xec365c","0x865c","233"
"ROME","0xeb99ff","0x69ff","228"
"ROME","0xeb9a30","0x6a30","228"
"ROME","0xec353d","0x853d","226"
"ROME","0xec3707","0x8707","226"
"ROME","0xec38a0","0x88a0","226"
"ROME","0xec38de","0x88de","226"
"ROME","0xec3930","0x8930","226"
"ROME","0xec3979","0x8979","226"
"ROME","0xec397b","0x897b","226"
"ROME","0xec3a12","0x8a12","226"
"ROME","0xeb6a5e","0x7a5e","224"
"ROME","0xec12b5","0x62b5","219"
"ROME","0xec3540","0x8540","210"
"ROME","0xed5109","0x6109","198"
"ROME","0xeb59d9","0x69d9","196"
"ROME","0xeb6947","0x7947","196"
"ROME","0xeb62f9","0x72f9","184"
